wave flux err    
10542.6 32.7482 43.2641
10543.2 63.5146 43.5272
10543.8 23.0131 43.4886
10544.4 35.5093 44.1709
10545.0 68.8422 44.2055
10545.6 5.04725 44.1394
10546.2 -18.4595 44.3524
10546.8 79.1583 43.8141
10547.4 59.4387 43.794
10548.0 46.4155 43.7669
10548.6 45.9929 43.7824
10549.2 78.0107 43.8218
10549.8 65.7095 44.2689
10550.4 43.0252 44.3294
10551.0 31.6879 44.8127
10551.6 5.29439 45.8848
10552.2 1.52988 46.3506
10552.8 10.3253 45.8403
10553.4 57.1868 44.4717
10554.0 37.3563 44.0222
10554.6 -14.8383 44.0385
10555.2 12.9755 43.915
10555.8 45.6511 44.2953
10556.4 -11.5869 43.9742
10557.0 16.037 45.6293
10557.6 -5.36521 48.2277
10558.2 -4.23313 45.862
10558.8 22.9034 44.9204
10559.4 -39.6437 54.4016
10560.0 15.6602 59.2499
10560.6 25.0358 58.9908
10561.2 59.4718 47.5999
10561.8 17.3742 44.3334
10562.4 37.429 44.2424
10563.0 40.1957 44.9832
10563.6 59.7486 46.1614
10564.2 36.6256 46.3562
10564.8 17.1674 45.06
10565.4 13.4863 44.5205
10566.0 -11.8967 44.6205
10566.6 29.8002 45.3313
10567.2 24.5368 45.1117
10567.8 67.4542 45.1108
10568.4 57.9676 45.352
10569.0 28.603 48.4845
10569.6 97.5446 55.1139
10570.2 -23.7906 47.4937
10570.8 24.7612 45.8047
10571.4 64.4216 52.8557
10572.0 96.0685 59.8979
10572.6 2.33744 60.2783
10573.2 63.4516 58.1139
10573.8 20.2824 49.4355
10574.4 44.6007 45.7898
10575.0 19.7684 45.4081
10575.6 9.31045 45.3912
10576.2 71.7774 46.2211
10576.8 68.4043 47.62
10577.4 30.2663 47.743
10578.0 24.398 46.087
10578.6 -14.6039 46.3087
10579.2 -14.125 46.1785
10579.8 57.2481 45.7806
10580.4 32.4394 45.7996
10581.0 -9.7849 45.8824
10581.6 42.9823 45.4546
10582.2 58.4195 47.2805
10582.8 70.7153 45.6933
10583.4 13.1498 46.6498
10584.0 16.428 50.3993
10584.6 -11.5758 59.05
10585.2 -41.2021 66.8323
10585.8 67.3279 71.5947
10586.4 0.241764 67.9067
10587.0 20.7228 59.2204
10587.6 24.0601 49.3513
10588.2 68.0753 51.1512
10588.8 11.5349 53.1863
